"","Year","Month","SettlementPoint","AveragePrice"
"150",2016,11,"LZ_LCRA",19.5416805555556
"151",2016,11,"LZ_NORTH",18.8305138888889
"152",2016,11,"LZ_RAYBN",18.8753194444444
"153",2016,11,"LZ_SOUTH",20.6333888888889
"154",2016,11,"LZ_WEST",19.3431388888889
"155",2016,12,"HB_BUSAVG",25.3183064516129
"156",2016,12,"HB_HOUSTON",25.7276612903226
"157",2016,12,"HB_HUBAVG",25.3625940860215
"158",2016,12,"HB_NORTH",25.1490456989247
"159",2016,12,"HB_SOUTH",25.7089919354839
"160",2016,12,"HB_WEST",24.8626612903226
"161",2016,12,"LZ_AEN",25.8701747311828
"162",2016,12,"LZ_CPS",26.5964247311828
"163",2016,12,"LZ_HOUSTON",25.7368413978495
"164",2016,12,"LZ_LCRA",25.487876344086
"165",2016,12,"LZ_NORTH",25.28625
"166",2016,12,"LZ_RAYBN",25.3195564516129
"167",2016,12,"LZ_SOUTH",26.3268413978495
"168",2016,12,"LZ_WEST",25.1658198924731
"169",2017,1,"HB_BUSAVG",23.2527822580645
"170",2017,1,"HB_HOUSTON",24.7818548387097
"171",2017,1,"HB_HUBAVG",23.3255510752688
"172",2017,1,"HB_NORTH",22.9918548387097
"173",2017,1,"HB_SOUTH",23.624811827957
"174",2017,1,"HB_WEST",21.9017204301075
"175",2017,1,"LZ_AEN",23.4044758064516
"176",2017,1,"LZ_CPS",23.7725672043011
"177",2017,1,"LZ_HOUSTON",24.8273655913979
"178",2017,1,"LZ_LCRA",23.4362768817204
"179",2017,1,"LZ_NORTH",23.6030241935484
"180",2017,1,"LZ_RAYBN",23.3901075268817
"181",2017,1,"LZ_SOUTH",25.1554838709677
"182",2017,1,"LZ_WEST",23.2313709677419
"183",2017,2,"HB_BUSAVG",20.1178273809524
"184",2017,2,"HB_HOUSTON",23.2657142857143
"185",2017,2,"HB_HUBAVG",20.3521279761905
"186",2017,2,"HB_NORTH",19.4481994047619
"187",2017,2,"HB_SOUTH",21.0793601190476
"188",2017,2,"HB_WEST",17.616681547619
"189",2017,2,"LZ_AEN",20.6053273809524
"190",2017,2,"LZ_CPS",20.9194791666667
"191",2017,2,"LZ_HOUSTON",23.5172172619048
"192",2017,2,"LZ_LCRA",20.660818452381
"193",2017,2,"LZ_NORTH",19.5500148809524
"194",2017,2,"LZ_RAYBN",20.3691517857143
"195",2017,2,"LZ_SOUTH",21.7936904761905
"196",2017,2,"LZ_WEST",18.4770535714286
